MainAccueilTab;Modelos
MainGroupFichier;gerencia de ficheros 
MainButtonOuvertureFichier;Abrir
MainButtonSauvegardeFichier;guardar
MainGroupBouees;gerencia modelos
MainButtonNouveauBouee;Nueva Boya
MainButtonModifierBouee; Modificar Boya
MainButtonCopierBouee;Copiar Boya
MainButtonSupprimerBouee;Suprimir Boya
MainGroupTri; Organizar por
MainComboBoxListeTri;{Nombre,Volumen}|1
MainButtonTriListeBoueeCroissant;Orden ascendente
MainButtonTriListeBoueeDecroissant;Orden Descendente
MainCalculTab;Calculo Parametro
MainButtonCalcul;Calculo Parametro
MainButtonNoLoad;Sin Carga
MainButtonCurrent;Corriente
MainButtonVent;Viento
MainButtonHoule;ola
MainButtonFullLoad;Carga maxima
MainButtonCalculHydro;Calculo Hidrico
MainLangueTab;Lenguas
MainGroupLangue;Eligir lengua
MainButtonLangueFr;Frances
MainButtonLangueEn;Ingles
MainButtonLangueEs;Español
MainTextBlockSelectionChaine;Seleccion Cadena
MainTextBlockParamCalculDN;Parametro Calculo DN
MainTextBlockParamCalculType;Tipo 
MainTextBlockParamCalculQualite;Calidad
MainTextBlockParamCalculLest;Lastre
MainTextBlockParamCalculMasseEquipement;Pesoequipamento
MainRadioButtonMasseEquipement;kg
MainButtonListEquipement;...
MainTextBlockParamCalculProfondeur;Profundidad
MainRadioButtonProfondeur;m 
MainTextBlockParamCalculMarnage;Amplitud marea
MainRadioButtonMarnage;m
MainTextBlockParamCalculHouleMax;Altura Max. ola
MainRadioButtonHouleMax;m
MainTextBlockParamCalculHouleSignificative;Ola Significante
MainRadioButtonHouleSignificative;m
MainTextBlockParamCalculPeriodeHoule;Periodo Hola
MainRadioButtonPeriodeHoule;Seg
MainTextBlockParamCalculVitesseCourant;Velocidad Corriente
MainRadioButtonVitesseCourantMS;m/s
MainRadioButtonVitesseCourantKts;nudos
MainTextBlockParamCalculVitesseVent;Velocidad viento
MainRadioButtonVitesseVentMS;m/s
MainRadioButtonVitesseVentKmh;km/h
MainTextBlockParamCalculSelectionDensiteCM;Muerto elecion densidad
MainComboBoxDensiteCM;{2.4 (Cimento reforcado),2.8 (Cimento reforcado altamente),3.0 (Cimento reforcado hematita),7.3 (Hiero fundido),7.85 (Acero)}|1
MainTextBlockAideLigne1;Seleccionar el modelo en la lista a la izquierda para cambiar el muerto y obtener el calculo
