MainAccueilTab;Modèles
MainGroupFichier;Gestion de la base de fichiers
MainButtonOuvertureFichier;Ouvrir
MainButtonSauvegardeFichier;Enregistrer
MainGroupBouees;Gestion des bouées
MainButtonNouveauBouee;Nouveau
MainButtonModifierBouee;Modifier
MainButtonCopierBouee;Copier
MainButtonSupprimerBouee;Supprimer
MainGroupTri;Tri de la liste
MainComboBoxListeTri;{Nom,Volume}|1
MainButtonTriListeBoueeCroissant;Tri croissant
MainButtonTriListeBoueeDecroissant;Tri décroissant
MainCalculTab;Paramètres de calcul
MainButtonCalcul;Calcul
MainButtonNoLoad;No load
MainButtonCurrent;Courant
MainButtonVent;Vent
MainButtonHoule;Vague
MainButtonFullLoad;Full load
MainButtonCalculHydro;Calcul hydro
MainLangueTab;Langues
MainGroupLangue;Sélection de la langue
MainButtonLangueFr;Français
MainButtonLangueEn;Anglais
MainButtonLangueEs;Espagnol
MainTextBlockSelectionChaine;Selection de la Chaine
MainTextBlockParamCalculDN;DN
MainTextBlockParamCalculType;Type
MainTextBlockParamCalculQualite;Qualité
MainTextBlockParamCalculLest;Lest
MainTextBlockParamCalculMasseEquipement;Masse équipement
MainRadioButtonMasseEquipement;kg
MainButtonListEquipement;...
MainTextBlockParamCalculProfondeur;Profondeur
MainRadioButtonProfondeur;m
MainTextBlockParamCalculMarnage;Marnage
MainRadioButtonMarnage;m
MainTextBlockParamCalculHouleMax;Hauteur houle max.
MainRadioButtonHouleMax;m
MainTextBlockParamCalculHouleSignificative;Houle significative
MainRadioButtonHouleSignificative;m
MainTextBlockParamCalculPeriodeHoule;Période de la houle
MainRadioButtonPeriodeHoule;sec
MainTextBlockParamCalculVitesseCourant;Vit. courant
MainRadioButtonVitesseCourantMS;m/s
MainRadioButtonVitesseCourantKts;kn
MainTextBlockParamCalculVitesseVent;Vit. vent
MainRadioButtonVitesseVentMS;m/s
MainRadioButtonVitesseVentKmh;km/h
MainTextBlockParamCalculSelectionDensiteCM;Sélection de la densité du corps mort
MainComboBoxDensiteCM;{2.4 (Béton Armé Norme Std.),2.8 (Béton Armé Chargé),3.0 (Béton Armé Hématite),7.3 (Fonte d'Acier),7.85 (Acier)}|1
MainTextBlockAideLigne1;Sélectionner un modèle dans la liste sur la gauche pour éditer le modèle ou passer en mode calcul
MainTextBlockAideLigne2;Cliquer sur l'icône Ouvrir pour ajouter une bouée dans votre liste de travail
MainTextBlockAideLigne3;Cliquer sur l'icône Modifier pour modifier la bouée sélectionnée
MainTextBlockAideLigne4;Cliquer sur l'onglet paramètres de calcul pour faire un calcul de ligne de mouillage sur la bouée sélectionnée
MainTextBlockAideLigne5;Manuel et référence technique dans 
ManagerBuoyGeneralTab;General
ManagerBuoyRibbonGroupSaveBuoy;Gestion de l'enregistrement
ManagerBuoyButtonSauvegardeBouee;Enregistrer
ManagerBuoyRibbonGroupMoveFloatOnStructure;Déplacement du flotteur sur la structure
ManagerBuoyButtonDeplacerFlotteurAuDessus;Déplacer au-dessus
ManagerBuoyButtonDeplacerFlotteurAuDessous;Déplacer au-dessous
ManagerBuoyTextBlockPasDeplacement;Pas de déplacement (m)
ManagerBuoyFlotteurTab;Flotteur
ManagerBuoyRibbonGroupFlotteurFonctionElement;Fonction pour la tranche sélectionnée
ManagerBuoyButtonNouveauFlotteur;Nouvelle Tranche
ManagerBuoyButtonAjouterFlotteur;Ajouter
ManagerBuoyButtonModificationFlotteur;Modification
ManagerBuoyButtonSupprimerFlotteur;Supprimer
ManagerBuoyButtonFlotteurDeplacerElementAuDessus;Déplacer au-dessus
ManagerBuoyButtonFlotteurDeplacerElementAuDessous;Déplacer au-dessous
ManagerBuoyStructureTab;Structure
ManagerBuoyRibbonGroupStructureFonctionElement;Fonction pour la tranche sélectionnée
ManagerBuoyButtonNouveauStructure;Nouvelle Tranche
ManagerBuoyButtonAjouterStructure;Ajouter
ManagerBuoyButtonModificationStructure;Modification
ManagerBuoyButtonSupprimerStructure;Supprimer
ManagerBuoyButtonStructureDeplacerElementAuDessus;Déplacer au-dessus
ManagerBuoyButtonStructureDeplacerElementAuDessous;Déplacer au-dessous
ManagerBuoyPyloneTab;Pylône
ManagerBuoyRibbonGroupPyloneFonctionElement;Fonction pour l'élément sélectionné
ManagerBuoyButtonNouveauPylone;Nouveau
ManagerBuoyButtonAjouterPylone;Ajouter
ManagerBuoyButtonModificationPylone;Modification
ManagerBuoyButtonSupprimerPylone;Supprimer
ManagerBuoyButtonPyloneDeplacerElementAuDessus;Déplacer au-dessus
ManagerBuoyButtonPyloneDeplacerElementAuDessous;Déplacer au-dessous
ManagerBuoyVoyantTab;Voyant
ManagerBuoyRibbonGroupVoyantFonctionElement;Fonction pour l'élément sélectionné
ManagerBuoyButtonNouveauVoyant;Nouveau
ManagerBuoyButtonAjouterVoyant;Ajouter
ManagerBuoyButtonModificationVoyant;Modification
ManagerBuoyButtonSupprimerVoyant;Supprimer
ManagerBuoyButtonVoyantDeplacerElementAuDessus;Déplacer au-dessus
ManagerBuoyButtonVoyantDeplacerElementAuDessous;Déplacer au-dessous
ManagerBuoyTextBlockVisualisationGraphique;Visualisation graphique
ManagerBuoyTextBlockParamGenBouee;Paramètres généraux
ManagerBuoyTextBlockNomBouee;Nom
ManagerBuoyTextBlockChaineComp;Chaine compatible
ManagerBuoyTextBlockChaineMin;Min
ManagerBuoyTextBlockChaineMax;Max
ManagerBuoyTextBlockBoueeLest;Définition des lests
ManagerBuoyTextBlockBoueeMasse;Masse
ManagerBuoyTextBlockNombre;Nombre
ManagerBuoyTextBlockNombreMin;Min
ManagerBuoyTextBlockNombreMax;Max
ManagerBuoyTextBlockFloatToStructBuoy;Hauteur du bas du flotteur au dessus du bas de la structure (m)
ManagerBuoyTextBlockInfoBouee;Informations
ManagerBuoyTextBlockMasseBuoy;Masse de la bouée (kg)
